"survey","name","value"
"one transect","survey_length_mean",1.08185185185185
"one transect","survey_length_sd",0.229798685349327
"one transect","survey_length_min",0.705555555555556
"one transect","survey_length_max",1.55
"one transect","all_obs_mean",2.63333333333333
"one transect","all_obs_sd",2.5661366821088
"one transect","all_obs_min",0
"one transect","all_obs_max",8
"one transect","gg_obs_mean",0.933333333333333
"one transect","gg_obs_sd",1.2847469449832
"one transect","gg_obs_min",0
"one transect","gg_obs_max",5
"one transect","crp_obs_mean",1.13333333333333
"one transect","crp_obs_sd",2.06336406491143
"one transect","crp_obs_min",0
"one transect","crp_obs_max",8
"one transect","effort_all_mean",2.39778741436121
"one transect","effort_all_sd",2.285246322843
"one transect","effort_all_min",0
"one transect","effort_all_max",8.50393700787401
"one transect","effort_GG_mean",0.856945334320192
"one transect","effort_GG_sd",1.18233571664405
"one transect","effort_GG_min",0
"one transect","effort_GG_max",4.16666666666667
"one transect","effort_crp_mean",0.992635717176764
"one transect","effort_crp_sd",1.68744669625505
"one transect","effort_crp_min",0
"one transect","effort_crp_max",5.66929133858268
"three transects","survey_length_mean",3.24388888888889
"three transects","survey_length_sd",0.662291438050071
"three transects","survey_length_min",2.11666666666667
"three transects","survey_length_max",4.66666666666667
"three transects","all_obs_mean",6.23333333333333
"three transects","all_obs_sd",6.46840242139104
"three transects","all_obs_min",0
"three transects","all_obs_max",27
"three transects","gg_obs_mean",2.73333333333333
"three transects","gg_obs_sd",4.52528020342832
"three transects","gg_obs_min",0
"three transects","gg_obs_max",21
"three transects","crp_obs_mean",2.63333333333333
"three transects","crp_obs_sd",4.41379759338852
"three transects","crp_obs_min",0
"three transects","crp_obs_max",19
"three transects","effort_all_mean",1.86535325124168
"three transects","effort_all_sd",1.85141783271247
"three transects","effort_all_min",0
"three transects","effort_all_max",8.48167539267016
"three transects","effort_GG_mean",0.835705896159768
"three transects","effort_GG_sd",1.41787927857005
"three transects","effort_GG_min",0
"three transects","effort_GG_max",6.59685863874346
"three transects","effort_crp_mean",0.76511317856516
"three transects","effort_crp_sd",1.13114376484767
"three transects","effort_crp_min",0
"three transects","effort_crp_max",4.07142857142857
